,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
299771,11730000,16168,Архангельская область,64,0.0,1531294.25,,ИРД,1102.9,,1388.425287877414,
288378,11715000,4791,Архангельская область,20,1477294.39,1477294.39,15.11.2018,ИРД,1496.1,"1477,30000",987.4302453044583,0.0
332838,11701000,12446,Архангельская область,20,655678.04,571124.83,01.10.2018,ИРД,803.3,"655,70000",710.9732727499066,0.1289553787709591
322438,11652000,16721,Архангельская область,20,996228.51,950700.6,03.12.2018,ИРД,1388.4,"4537,40000",684.7454624027657,0.04570026810415216
269419,11618000,5531,Архангельская область,64,0.0,207092.2,,ИРД,309.9,"135,50000",668.2549209422396,
267231,11701000,12102,Архангельская область,68,200000.0,45434.41,13.09.2018,ИРД,70.0,,649.0630000000001,0.7728279499999999
267404,11701000,12131,Архангельская область,20,432534.58,432534.58,19.10.2018,ИРД,713.5,"432,50000",606.2152487736511,0.0
296479,11730000,15322,Архангельская область,64,462479.34,1352224.95,25.10.2018,ИРД,2261.3,"462,50000",597.9856498474328,-1.9238602312483837
266918,11701000,36188,Архангельская область,68,200000.0,47230.56,10.08.2018,ИРД,79.9,,591.120901126408,0.7638472000000001
266806,11701000,36187,Архангельская область,68,200000.0,46552.77,20.09.2018,ИРД,80.3,,579.7356164383561,0.76723615
266715,11701000,35542,Архангельская область,68,200000.0,47603.36,31.08.2018,ИРД,83.2,,572.1557692307692,0.7619832000000001
295192,11730000,15599,Архангельская область,20,1369178.53,1369178.53,04.06.2018,ИРД,2622.1,"9958,80000",522.1686930323024,0.0
317348,11648000,5150,Архангельская область,21,77393.95,80863.85,17.08.2018,ИРД,160.7,"2580,80000",503.19757311761055,-0.04483425384025507
258009,11605000,9753,Архангельская область,68,35489.24,87271.31,30.11.2018,ИРД,185.1,"35,50000",471.48195569962184,-1.4590921079177803
268501,11701000,36193,Архангельская область,68,26871.23,59939.24,27.08.2018,ИРД,130.3,,460.00951650038365,-1.230610210250889
285849,11642000,13126,Архангельская область,21,148240.97,148796.88,05.06.2019,ИРД,330.0,"4839,40000",450.8996363636364,-0.003750042919983615
334739,11658000,3348,Архангельская область,68,40440.42,60878.67,24.04.2018,ИРД,139.71,"40,40000",435.7502684131415,-0.5053916353984454
327569,11654000,34075,Архангельская область,68,34678.21,61118.93,09.04.2018,ИРД,141.1,"34,70000",433.1603827072998,-0.7624591926745932
327563,11654000,34078,Архангельская область,68,36120.55,56506.5,09.04.2018,ИРД,132.4,"557,50000",426.78625377643505,-0.5643864780575045
266953,11701000,36190,Архангельская область,68,200000.0,53805.18,10.08.2018,ИРД,126.1,,426.68659793814436,0.7309741000000001
332836,11701000,12445,Архангельская область,20,494839.36,395672.84,23.08.2018,ИРД,934.4,"494,80000",423.4512414383562,0.20040143936812133
268471,11701000,36192,Архангельская область,68,28964.39,62955.42,27.08.2018,ИРД,151.5,,415.54732673267324,-1.1735455157177486
327562,11654000,34084,Архангельская область,68,37771.85,64241.79,09.04.2018,ИРД,155.2,"682,60000",413.92905927835056,-0.7007848437394516
266722,11701000,35559,Архангельская область,68,200000.0,52178.48,06.09.2018,ИРД,130.4,,400.14171779141105,0.7391076
297886,11730000,15640,Архангельская область,20,1292295.45,1292295.45,29.09.2017,ИРД,3289.3,"9290,60000",392.87856078800957,0.0
299948,11730000,16210,Архангельская область,64,0.0,1551647.85,,ИРД,4093.8,,379.0238531437784,
273645,11627000,35963,Архангельская область,68,31351.29,54411.61,03.09.2018,ИРД,144.8,"31,40000",375.77078729281766,-0.735546129042856
267224,11701000,35612,Архангельская область,68,200000.0,56855.27,,ИРД,155.0,,366.80819354838707,0.71572365
267223,11701000,35610,Архангельская область,68,200000.0,56855.27,31.08.2018,ИРД,155.2,,366.3355025773196,0.71572365
317346,11648000,5150,Архангельская область,68,32406.13,58469.31,09.04.2018,ИРД,160.7,"2580,80000",363.84138145612945,-0.8042669704774991
323020,11652000,9493,Архангельская область,20,1494425.42,1568569.38,28.09.2017,ИРД,4368.6,"2744,70000",359.05539074302976,-0.049613690323870405
263358,11611000,5354,Архангельская область,68,26170.57,32314.86,23.01.2019,ИРД,95.4,"26,20000",338.73018867924526,-0.23477860818468993
266729,11701000,35563,Архангельская область,68,200000.0,54550.76,06.09.2018,ИРД,163.2,,334.2571078431373,0.7272462
290418,11710000,32713,Архангельская область,68,75445.35,75445.35,31.07.2018,ИРД,230.6,,327.169774501301,0.0
281392,11701000,10739,Архангельская область,68,51808.63,77234.75,25.01.2019,ИРД,248.3,"51,80000",311.05416834474426,-0.49076997403714406
310536,11701000,10502,Архангельская область,64,531019.27,1962632.95,,ИРД,6433.8,"2347,10000",305.05035126985604,-2.6959731235365525
281717,11701000,13467,Архангельская область,68,103540.83,108521.19,29.05.2018,ИРД,360.1,,301.36403776728685,-0.048100445012851455
263650,11614000,33435,Архангельская область,68,39867.88,46895.92,,ИРД,155.8,"39,90000",301.00077021822847,-0.176283263619736
312082,11701000,10360,Архангельская область,64,851596.06,1132122.2,05.08.2019,ИРД,3773.1,"5101,70000",300.05093954573164,-0.3294122098216376
260198,11605000,10032,Архангельская область,21,42378.51,197103.8,21.05.2018,ИРД,660.5,"1555,70000",298.4160484481453,-3.651031855532438
322909,11652000,16815,Архангельская область,21,51710.59,79229.46,25.05.2018,ИРД,265.5,"1662,60000",298.4160451977401,-0.5321708764104222
259615,11605000,17155,Архангельская область,21,108920.44,153296.32,01.08.2019,ИРД,513.7,"3571,30000",298.41604049055866,-0.4074155411050488
